,0,1,2
124,0.0005308872787281871,1524   ,耿鼎         
125,0.0005308872787281871,1525   ,江申         
126,0.0005308872787281871,1526   ,日馳         
127,0.0005308872787281871,1527   ,鑽全         
128,0.0005308872787281871,1528   ,恩德         
129,0.0005308872787281871,1529   ,樂士         
130,0.0005308872787281871,1530   ,亞崴         
131,0.0005308872787281871,15302  ,亞崴二       
132,0.0005308872787281871,1531   ,高林股       
133,0.0005308872787281871,1532   ,勤美         
134,0.0005308872787281871,1533   ,車王電       
135,0.0005308872787281871,1535   ,中宇         
136,0.0005308872787281871,1536   ,和大         
137,0.0005308872787281871,1538   ,正峰         
138,0.0005308872787281871,1539   ,巨庭         
139,0.0005308872787281871,1540   ,喬福         
140,0.0005308872787281871,1541   ,錩泰         
141,0.0005308872787281871,1560   ,中砂         
142,0.0005308872787281871,1563   ,巧新         
143,0.0005308872787281871,1568   ,倉佑         
144,0.0005308872787281871,1569   ,濱川         
145,0.0005308872787281871,1580   ,新麥         
146,0.0005308872787281871,1582   ,信錦         
147,0.0005308872787281871,15831  ,程泰一       
148,0.0005308872787281871,1585   ,鎧鉅         
149,0.0005308872787281871,1586   ,和勤         
150,0.0005308872787281871,15862  ,和勤二       
151,0.0005308872787281871,15863  ,和勤三       
152,0.0005308872787281871,15891  ,永冠一KY     
153,0.0005308872787281871,15892  ,永冠二KY     
154,0.0005308872787281871,15893  ,永冠三KY     
155,0.0005308872787281871,1590   ,亞德客-KY    
156,0.0005308872787281871,1591   ,駿吉-KY      
157,0.0005308872787281871,1592   ,英瑞-KY      
158,0.0005308872787281871,15921  ,英瑞一KY     
159,0.0005308872787281871,1593   ,祺驊         
160,0.0005308872787281871,15932  ,祺驊二       
161,0.0005308872787281871,1594   ,日高         
162,0.0005308872787281871,1595   ,川寶         
163,0.0005308872787281871,1597   ,直得         
164,0.0005308872787281871,15982  ,岱宇二       
165,0.0005308872787281871,1599   ,宏佳騰       
166,0.0005308872787281871,1603   ,華電         
167,0.0005308872787281871,1604   ,聲寶         
168,0.0005308872787281871,1605   ,華新         
169,0.0005308872787281871,1608   ,華榮         
170,0.0005308872787281871,1609   ,大亞         
171,0.0005308872787281871,1611   ,中電         
172,0.0005308872787281871,1612   ,宏泰         
173,0.0005308872787281871,1614   ,三洋電       
174,0.0005308872787281871,1615   ,大山         
175,0.0005308872787281871,1616   ,億泰         
176,0.0005308872787281871,1617   ,榮星         
177,0.0005308872787281871,1618   ,合機         
178,0.0005308872787281871,1626   ,艾美特-KY    
179,0.0005308872787281871,16262  ,艾美特二KY   
180,0.0005308872787281871,16263  ,艾美特三KY   
181,0.0005308872787281871,1701   ,中化         
182,0.0005308872787281871,1702   ,南僑         
183,0.0005308872787281871,1704   ,榮化         
184,0.0005308872787281871,1707   ,葡萄王       
185,0.0005308872787281871,1708   ,東鹼         
186,0.0005308872787281871,17091  ,和益一       
187,0.0005308872787281871,1710   ,東聯         
188,0.0005308872787281871,1711   ,永光         
189,0.0005308872787281871,1712   ,興農         
190,0.0005308872787281871,1713   ,國化         
191,0.0005308872787281871,1714   ,和桐         
192,0.0005308872787281871,1717   ,長興         
193,0.0005308872787281871,1718   ,中纖         
194,0.0005308872787281871,1720   ,生達         
195,0.0005308872787281871,1721   ,三晃         
196,0.0005308872787281871,1722   ,台肥         
197,0.0005308872787281871,1723   ,中碳         
198,0.0005308872787281871,1724   ,台硝         
199,0.0005308872787281871,1725   ,元禎         
200,0.0005308872787281871,1726   ,永記         
201,0.0005308872787281871,1727   ,中華化       
202,0.0005308872787281871,1731   ,美吾華       
203,0.0005308872787281871,1733   ,五鼎         
204,0.0005308872787281871,17333  ,五鼎三       
205,0.0005308872787281871,1734   ,杏輝         
206,0.0005308872787281871,1736   ,喬山         
207,0.0005308872787281871,1742   ,台蠟         
208,0.0005308872787281871,1752   ,南光         
209,0.0005308872787281871,1760   ,寶齡富錦     
210,0.0005308872787281871,1762   ,中化生       
211,0.0005308872787281871,1773   ,勝一         
212,0.0005308872787281871,1776   ,展宇         
213,0.0005308872787281871,1777   ,生泰         
214,0.0005308872787281871,1781   ,合世         
215,0.0005308872787281871,1783   ,和康生       
216,0.0005308872787281871,1784   ,訊聯         
217,0.0005308872787281871,1785   ,光洋科       
218,0.0005308872787281871,1786   ,科妍         
219,0.0005308872787281871,17861  ,科妍一       
220,0.0005308872787281871,1787   ,福盈科       
221,0.0005308872787281871,1788   ,杏昌         
222,0.0005308872787281871,1789   ,神隆         
223,0.0005308872787281871,1796   ,金穎生技     
224,0.0005308872787281871,17961  ,金穎生技一   
225,0.0005308872787281871,1799   ,易威         
226,0.0005308872787281871,17991  ,易威一       
227,0.0005308872787281871,1802   ,台玻         
228,0.0005308872787281871,1805   ,寶徠         
229,0.0005308872787281871,1806   ,冠軍         
230,0.0005308872787281871,1808   ,潤隆         
231,0.0005308872787281871,1809   ,中釉         
232,0.0005308872787281871,1810   ,和成         
233,0.0005308872787281871,1813   ,寶利徠       
234,0.0005308872787281871,1815   ,富喬         
235,0.0005308872787281871,18155  ,富喬五       
236,0.0005308872787281871,1817   ,凱撒衛       
237,0.0005308872787281871,1902   ,台紙         
238,0.0005308872787281871,1903   ,士紙         
239,0.0005308872787281871,1904   ,正隆         
240,0.0005308872787281871,1905   ,華紙         
241,0.0005308872787281871,1907   ,永豐餘       
242,0.0005308872787281871,1909   ,榮成         
243,0.0005308872787281871,2002   ,中鋼         
244,0.0005308872787281871,2002A  ,中鋼特       
245,0.0005308872787281871,2006   ,東和鋼鐵     
246,0.0005308872787281871,20067  ,東和鋼鐵七   
247,0.0005308872787281871,2007   ,燁興         
